#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 01 01 00 09 260  2.1 99.0 99.00 99.00 99.00 999 1019.1  13.5  13.1 999.0 99.0 99.00
2018 01 01 01 09 230  1.5 99.0 99.00 99.00 99.00 999 1019.5  13.4  13.1 999.0 99.0 99.00
2018 01 01 02 09 220  2.1 99.0 99.00 99.00 99.00 999 1020.1  13.6  13.1 999.0 99.0 99.00
2018 01 01 03 09 190  2.1 99.0 99.00 99.00 99.00 999 1020.4  13.6  13.1 999.0 99.0 99.00
2018 01 01 04 09 220  1.0 99.0 99.00 99.00 99.00 999 1020.8  13.6  13.0 999.0 99.0 99.00
2018 01 01 05 09   0  0.0 99.0 99.00 99.00 99.00 999 1021.0  13.4  12.9 999.0 99.0 99.00
2018 01 01 06 09 250  1.0 99.0 99.00 99.00 99.00 999 1021.6  13.3  12.9 999.0 99.0 99.00
2018 01 01 07 09 170  1.0 99.0 99.00 99.00 99.00 999 1022.2  13.4  12.9 999.0 99.0 99.00
2018 01 01 08 09 150  1.5 99.0 99.00 99.00 99.00 999 1022.4  13.0  12.9 999.0 99.0 99.00
2018 01 01 09 09 170  0.5 99.0 99.00 99.00 99.00 999 1022.3  12.8  12.9 999.0 99.0 99.00
2018 01 01 10 09 160  1.5 99.0 99.00 99.00 99.00 999 1022.3  12.7  13.0 999.0 99.0 99.00
2018 01 01 11 09 150  1.5 99.0 99.00 99.00 99.00 999 1022.3  12.8  13.1 999.0 99.0 99.00
2018 01 01 12 09 140  1.0 99.0 99.00 99.00 99.00 999 1022.0  12.6  13.1 999.0 99.0 99.00
2018 01 01 13 09  60  2.1 99.0 99.00 99.00 99.00 999 1022.1  12.1  13.1 999.0 99.0 99.00
2018 01 01 14 09  80  1.5 99.0 99.00 99.00 99.00 999 1022.7  12.1  13.1 999.0 99.0 99.00
2018 01 01 15 09  40  4.1 99.0 99.00 99.00 99.00 999 1022.6  11.7  13.1 999.0 99.0 99.00
2018 01 01 16 09  30  5.1 99.0 99.00 99.00 99.00 999 1022.7  11.3  13.1 999.0 99.0 99.00
2018 01 01 17 09  60  5.7 99.0 99.00 99.00 99.00 999 1023.0  11.1  13.1 999.0 99.0 99.00
2018 01 01 18 09  40  5.7 99.0 99.00 99.00 99.00 999 1023.3  11.5  13.3 999.0 99.0 99.00
2018 01 01 19 09  20  3.6 99.0 99.00 99.00 99.00 999 1022.9  12.2  13.3 999.0 99.0 99.00
2018 01 01 20 09  30  3.6 99.0 99.00 99.00 99.00 999 1021.7  12.8  13.3 999.0 99.0 99.00
2018 01 01 21 09   0  0.0 99.0 99.00 99.00 99.00 999 1020.7  12.9  13.2 999.0 99.0 99.00
2018 01 01 22 09 300  4.6 99.0 99.00 99.00 99.00 999 1020.3  13.2  13.2 999.0 99.0 99.00
2018 01 01 23 09 290  5.1 99.0 99.00 99.00 99.00 999 1020.0  13.2  13.3 999.0 99.0 99.00
2018 01 02 00 09 300  4.1 99.0 99.00 99.00 99.00 999 1019.7  13.4  13.3 999.0 99.0 99.00
2018 01 02 01 09 290  2.1 99.0 99.00 99.00 99.00 999 1020.1  13.6  13.3 999.0 99.0 99.00
2018 01 02 02 09 310  2.6 99.0 99.00 99.00 99.00 999 1020.2  13.7  13.3 999.0 99.0 99.00
2018 01 02 03 09 330  2.6 99.0 99.00 99.00 99.00 999 1020.2  13.6  13.3 999.0 99.0 99.00
2018 01 02 04 09  10  1.5 99.0 99.00 99.00 99.00 999 1020.0  13.7  13.5 999.0 99.0 99.00
2018 01 02 05 09 120  1.5 99.0 99.00 99.00 99.00 999 1020.2  13.6  13.5 999.0 99.0 99.00
2018 01 02 06 09 110  1.5 99.0 99.00 99.00 99.00 999 1020.5  13.6  13.6 999.0 99.0 99.00
2018 01 02 07 09  90  2.1 99.0 99.00 99.00 99.00 999 1020.7  13.6  13.2 999.0 99.0 99.00
2018 01 02 08 09 110  1.5 99.0 99.00 99.00 99.00 999 1021.0  13.6  13.2 999.0 99.0 99.00
2018 01 02 09 09 120  1.5 99.0 99.00 99.00 99.00 999 1020.8  13.7  13.6 999.0 99.0 99.00
2018 01 02 10 09  80  4.6 99.0 99.00 99.00 99.00 999 1020.4  14.0  13.7 999.0 99.0 99.00
2018 01 02 11 09  80  4.1 99.0 99.00 99.00 99.00 999 1020.7  14.0  13.7 999.0 99.0 99.00
2018 01 02 12 09 120  3.1 99.0 99.00 99.00 99.00 999 1020.9  14.4  13.7 999.0 99.0 99.00
2018 01 02 13 09  70  3.1 99.0 99.00 99.00 99.00 999 1021.0  14.4  13.8 999.0 99.0 99.00
2018 01 02 14 09  50  4.1 99.0 99.00 99.00 99.00 999 1020.6  13.6  13.7 999.0 99.0 99.00
2018 01 02 15 09  60  6.2 99.0 99.00 99.00 99.00 999 1020.6  13.9  13.7 999.0 99.0 99.00
2018 01 02 16 09  50  5.1 99.0 99.00 99.00 99.00 999 1020.6  13.6  13.5 999.0 99.0 99.00
2018 01 02 17 19  50  4.6 99.0 99.00 99.00 99.00 999 1020.7  13.5  13.5 999.0 99.0 99.00
2018 01 02 18 09  60  5.1 99.0 99.00 99.00 99.00 999 1020.7  13.7  13.6 999.0 99.0 99.00
2018 01 02 19 08 100  4.1 99.0 99.00 99.00 99.00 999 1021.3  13.9  13.7 999.0 99.0 99.00
2018 01 02 20 08  40  3.1 99.0 99.00 99.00 99.00 999 1020.4  14.2  13.8 999.0 99.0 99.00
2018 01 02 21 08  60  3.1 99.0 99.00 99.00 99.00 999 1020.0  14.5  13.9 999.0 99.0 99.00
2018 01 02 22 08  60  2.6 99.0 99.00 99.00 99.00 999 1019.4  14.7  14.0 999.0 99.0 99.00
2018 01 02 23 08  80  3.1 99.0 99.00 99.00 99.00 999 1019.5  14.6  14.0 999.0 99.0 99.00
2018 01 03 00 08  90  3.1 99.0 99.00 99.00 99.00 999 1019.0  15.0  14.1 999.0 99.0 99.00
2018 01 03 01 08  70  2.6 99.0 99.00 99.00 99.00 999 1018.5  14.1  14.0 999.0 99.0 99.00
2018 01 03 02 08  70  3.1 99.0 99.00 99.00 99.00 999 1018.3  14.2  14.0 999.0 99.0 99.00
2018 01 03 03 08  80  3.1 99.0 99.00 99.00 99.00 999 1018.0  14.2  13.9 999.0 99.0 99.00
2018 01 03 04 08  80  2.6 99.0 99.00 99.00 99.00 999 1018.0  14.3  13.8 999.0 99.0 99.00
2018 01 03 05 08  80  2.6 99.0 99.00 99.00 99.00 999 1018.0  14.7  13.8 999.0 99.0 99.00
2018 01 03 06 08  20  4.1 99.0 99.00 99.00 99.00 999 1017.8  14.7  13.8 999.0 99.0 99.00
2018 01 03 07 08  30  4.1 99.0 99.00 99.00 99.00 999 1017.7  14.5  13.8 999.0 99.0 99.00
2018 01 03 08 08  40  5.7 99.0 99.00 99.00 99.00 999 1017.4  15.3  13.8 999.0 99.0 99.00
2018 01 03 09 08  50  6.2 99.0 99.00 99.00 99.00 999 1017.0  14.4  13.8 999.0 99.0 99.00
2018 01 03 10 08  80  5.1 99.0 99.00 99.00 99.00 999 1017.3  14.5  13.8 999.0 99.0 99.00
2018 01 03 11 08  90  3.6 99.0 99.00 99.00 99.00 999 1017.6  14.4  13.7 999.0 99.0 99.00
2018 01 03 12 08  90  3.6 99.0 99.00 99.00 99.00 999 1017.0  13.7  13.7 999.0 99.0 99.00
2018 01 03 13 08  80  4.6 99.0 99.00 99.00 99.00 999 1016.6  13.9  13.7 999.0 99.0 99.00
2018 01 03 14 08  70  4.6 99.0 99.00 99.00 99.00 999 1016.4  13.4  13.2 999.0 99.0 99.00
2018 01 03 15 08  60  5.7 99.0 99.00 99.00 99.00 999 1016.1  12.9  13.2 999.0 99.0 99.00
2018 01 03 16 08  60  5.7 99.0 99.00 99.00 99.00 999 1015.9  13.4  13.1 999.0 99.0 99.00
2018 01 03 17 08 100  4.6 99.0 99.00 99.00 99.00 999 1016.6  13.2  13.1 999.0 99.0 99.00
2018 01 03 18 08 180  4.1 99.0 99.00 99.00 99.00 999 1017.1  14.8  13.0 999.0 99.0 99.00
2018 01 03 19 08  10  4.6 99.0 99.00 99.00 99.00 999 1016.7  13.9  13.5 999.0 99.0 99.00
2018 01 03 20 08  40  4.6 99.0 99.00 99.00 99.00 999 1016.0  13.9  13.4 999.0 99.0 99.00
2018 01 03 21 08  80  5.7 99.0 99.00 99.00 99.00 999 1016.5  13.9  13.2 999.0 99.0 99.00
2018 01 03 22 08  10  3.6 99.0 99.00 99.00 99.00 999 1016.5  13.4  13.1 999.0 99.0 99.00
2018 01 03 23 08  50  7.7 99.0 99.00 99.00 99.00 999 1014.9  13.0  13.1 999.0 99.0 99.00
2018 01 04 00 08  40  5.7 99.0 99.00 99.00 99.00 999 1014.9  13.7  13.3 999.0 99.0 99.00
2018 01 04 01 08  60  5.7 99.0 99.00 99.00 99.00 999 1014.5  15.0  13.7 999.0 99.0 99.00
2018 01 04 02 08  80  7.2 99.0 99.00 99.00 99.00 999 1014.3  15.5  13.7 999.0 99.0 99.00
2018 01 04 03 08  90  4.6 99.0 99.00 99.00 99.00 999 1015.0  14.7  13.7 999.0 99.0 99.00
2018 01 04 04 08 200  2.6 99.0 99.00 99.00 99.00 999 1015.4  14.3  13.7 999.0 99.0 99.00
2018 01 04 05 08 240  5.1 99.0 99.00 99.00 99.00 999 1016.6  14.0  13.7 999.0 99.0 99.00
2018 01 04 06 08 150  3.6 99.0 99.00 99.00 99.00 999 1016.9  13.4  13.7 999.0 99.0 99.00
2018 01 04 07 08 120  5.1 99.0 99.00 99.00 99.00 999 1017.3  13.7  13.7 999.0 99.0 99.00
2018 01 04 08 08  30  5.7 99.0 99.00 99.00 99.00 999 1017.3  13.1  13.7 999.0 99.0 99.00
2018 01 04 09 08  50  6.7 99.0 99.00 99.00 99.00 999 1017.6  13.6  13.7 999.0 99.0 99.00
2018 01 04 10 08  70  5.7 99.0 99.00 99.00 99.00 999 1017.6  13.7  13.7 999.0 99.0 99.00
2018 01 04 11 08  60  6.7 99.0 99.00 99.00 99.00 999 1017.4  13.7  13.8 999.0 99.0 99.00
2018 01 04 12 08  70  3.1 99.0 99.00 99.00 99.00 999 1017.7  14.4  13.8 999.0 99.0 99.00
2018 01 04 13 08  90  4.6 99.0 99.00 99.00 99.00 999 1017.5  14.0  13.8 999.0 99.0 99.00
2018 01 04 14 08  60  6.2 99.0 99.00 99.00 99.00 999 1017.7  12.9  13.6 999.0 99.0 99.00
2018 01 04 15 08  70  4.6 99.0 99.00 99.00 99.00 999 1018.2  13.1  13.2 999.0 99.0 99.00
2018 01 04 16 08  60  6.2 99.0 99.00 99.00 99.00 999 1018.4  13.3  13.2 999.0 99.0 99.00
2018 01 04 17 08  60  5.1 99.0 99.00 99.00 99.00 999 1019.0  13.6  13.3 999.0 99.0 99.00
2018 01 04 18 08  20  5.7 99.0 99.00 99.00 99.00 999 1019.3  14.0  13.3 999.0 99.0 99.00
2018 01 04 19 08  20  3.6 99.0 99.00 99.00 99.00 999 1019.1  14.3  13.3 999.0 99.0 99.00
2018 01 04 20 08 260  2.6 99.0 99.00 99.00 99.00 999 1018.6  14.6  13.8 999.0 99.0 99.00
2018 01 04 21 08 240  3.6 99.0 99.00 99.00 99.00 999 1018.0  15.6  14.0 999.0 99.0 99.00
2018 01 04 22 08 180  4.6 99.0 99.00 99.00 99.00 999 1017.8  15.0  14.2 999.0 99.0 99.00
2018 01 04 23 08 190  9.8 99.0 99.00 99.00 99.00 999 1017.2  14.9  14.0 999.0 99.0 99.00
2018 01 05 00 08 190  9.8 99.0 99.00 99.00 99.00 999 1017.5  14.7  13.7 999.0 99.0 99.00
2018 01 05 01 08 180  9.3 99.0 99.00 99.00 99.00 999 1017.7  15.0  13.7 999.0 99.0 99.00
2018 01 05 02 08 180  6.7 99.0 99.00 99.00 99.00 999 1018.0  15.0  13.7 999.0 99.0 99.00
2018 01 05 03 08 210  7.2 99.0 99.00 99.00 99.00 999 1018.9  15.0  13.8 999.0 99.0 99.00
2018 01 05 04 08 190  6.2 99.0 99.00 99.00 99.00 999 1019.9  14.5  13.8 999.0 99.0 99.00
2018 01 05 05 08 190  6.2 99.0 99.00 99.00 99.00 999 1020.6  14.6  13.6 999.0 99.0 99.00
2018 01 05 06 08 200  6.2 99.0 99.00 99.00 99.00 999 1021.6  14.3  13.4 999.0 99.0 99.00
2018 01 05 07 08 140  5.1 99.0 99.00 99.00 99.00 999 1021.4  14.3  13.4 999.0 99.0 99.00
2018 01 05 08 08 130  5.1 99.0 99.00 99.00 99.00 999 1021.3  14.3  13.3 999.0 99.0 99.00
2018 01 05 09 08 180  2.1 99.0 99.00 99.00 99.00 999 1021.3  14.3  13.3 999.0 99.0 99.00
2018 01 05 10 08  50  3.1 99.0 99.00 99.00 99.00 999 1021.1  14.2  13.3 999.0 99.0 99.00
2018 01 05 11 08  80  2.6 99.0 99.00 99.00 99.00 999 1021.5  14.2  13.4 999.0 99.0 99.00
2018 01 05 12 08 120  2.6 99.0 99.00 99.00 99.00 999 1021.3  13.8  13.4 999.0 99.0 99.00
2018 01 05 13 08 160  3.6 99.0 99.00 99.00 99.00 999 1021.5  14.2  13.5 999.0 99.0 99.00
2018 01 05 14 08 160  5.7 99.0 99.00 99.00 99.00 999 1021.4  14.2  13.6 999.0 99.0 99.00
2018 01 05 15 08 160  4.1 99.0 99.00 99.00 99.00 999 1022.0  14.3  13.6 999.0 99.0 99.00
2018 01 05 16 08  70  2.1 99.0 99.00 99.00 99.00 999 1022.5  13.9  13.7 999.0 99.0 99.00
2018 01 05 17 08  80  2.6 99.0 99.00 99.00 99.00 999 1022.9  13.8  13.7 999.0 99.0 99.00
2018 01 05 18 08  60  2.6 99.0 99.00 99.00 99.00 999 1023.5  14.4  13.7 999.0 99.0 99.00
2018 01 05 19 08  60  2.6 99.0 99.00 99.00 99.00 999 1023.4  14.2  13.7 999.0 99.0 99.00
2018 01 05 20 08 170  4.6 99.0 99.00 99.00 99.00 999 1023.4  14.4  13.7 999.0 99.0 99.00
2018 01 05 21 08 190  6.2 99.0 99.00 99.00 99.00 999 1022.6  14.7  13.7 999.0 99.0 99.00
2018 01 05 22 08 190  5.1 99.0 99.00 99.00 99.00 999 1022.3  14.4  13.7 999.0 99.0 99.00
2018 01 05 23 08 180  4.6 99.0 99.00 99.00 99.00 999 1022.3  14.5  13.7 999.0 99.0 99.00
2018 01 06 00 08 230  3.6 99.0 99.00 99.00 99.00 999 1022.7  14.8  13.7 999.0 99.0 99.00
2018 01 06 01 08 300  5.7 99.0 99.00 99.00 99.00 999 1022.1  13.4  13.8 999.0 99.0 99.00
2018 01 06 02 08 290  5.7 99.0 99.00 99.00 99.00 999 1022.6  13.9  13.7 999.0 99.0 99.00
2018 01 06 03 08 300  6.2 99.0 99.00 99.00 99.00 999 1022.3  13.4  13.7 999.0 99.0 99.00
2018 01 06 04 08 320  4.6 99.0 99.00 99.00 99.00 999 1022.1  13.6  13.7 999.0 99.0 99.00
2018 01 06 05 08 300  5.7 99.0 99.00 99.00 99.00 999 1022.6  13.6  13.7 999.0 99.0 99.00
2018 01 06 06 08 310  6.2 99.0 99.00 99.00 99.00 999 1022.3  13.3  13.7 999.0 99.0 99.00
2018 01 06 07 08 300  8.2 99.0 99.00 99.00 99.00 999 1022.0  12.8  13.8 999.0 99.0 99.00
2018 01 06 08 08 320  6.2 99.0 99.00 99.00 99.00 999 1022.5  13.1  13.8 999.0 99.0 99.00
2018 01 06 09 08 310  4.1 99.0 99.00 99.00 99.00 999 1022.5  13.8  13.8 999.0 99.0 99.00
2018 01 06 10 08 310  2.1 99.0 99.00 99.00 99.00 999 1022.5  14.0  13.8 999.0 99.0 99.00
2018 01 06 11 08 320  6.2 99.0 99.00 99.00 99.00 999 1022.3  13.8  13.8 999.0 99.0 99.00
2018 01 06 12 08 280  2.6 99.0 99.00 99.00 99.00 999 1021.5  13.8  13.7 999.0 99.0 99.00
2018 01 06 13 08 290  5.1 99.0 99.00 99.00 99.00 999 1021.0  13.7  13.7 999.0 99.0 99.00
2018 01 06 14 08 300  6.2 99.0 99.00 99.00 99.00 999 1021.4  13.5  13.7 999.0 99.0 99.00
2018 01 06 15 08 300  6.2 99.0 99.00 99.00 99.00 999 1022.1  13.5  13.7 999.0 99.0 99.00
2018 01 06 16 08 350  4.1 99.0 99.00 99.00 99.00 999 1022.2  13.4  13.7 999.0 99.0 99.00
